MALICIOUS,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_AGE_DAYS,WHOIS_UPDATED_DAYS,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES
0,27,6,us-ascii,Microsoft-HTTPAPI/2.0,US,CO,800,799,0,0,0,0,0,0,0,0,0,0.0
0,27,6,utf-8,openresty/1.11.2.1,US,TEXAS,3733,788,3,3,1,366,3,5,306,366,3,0.0
0,27,6,UTF-8,Apache/2.2.15 (CentOS),AU,Queensland,3238,983,40,13,14,3781,46,44,34101,4253,46,6.0
0,27,6,UTF-8,Apache/2.4.25,None,None,8068,767,6,0,4,631,8,11,812,787,8,2.0
0,27,7,ISO-8859-1,Apache,US,FL,8458,1430,0,0,0,0,0,0,0,0,0,0.0
1,28,9,UTF-8,Apache/2.2.15 (CentOS),RU,MOSCOW,4237,951,5,0,1,592,7,9,1062,732,7,2.0
1,28,7,us-ascii,Microsoft-HTTPAPI/2.0,US,FL,5335,1690,5,0,2,556,9,9,1154,860,9,4.0
0,28,8,utf-8,nginx,[u'GB'; u'UK'],UK,6280,814,0,0,0,0,0,0,0,0,0,0.0
0,28,6,ISO-8859-1,None,US,CA,8098,913,0,0,0,0,0,0,0,0,0,0.0
0,28,7,iso-8859-1,Apache,FR,None,3889,997,0,0,0,0,0,0,0,0,0,0.0
0,28,7,ISO-8859-1,cloudflare-nginx,NL,P,7122,727,0,0,0,0,0,0,0,0,0,0.0
0,28,7,us-ascii,None,US,NH,5387,1016,6,4,3,552,6,8,612,552,6,0.0
0,28,7,ISO-8859-1,cloudflare-nginx,NL,P,7122,727,8,4,6,696,8,10,634,696,8,0.0
0,28,6,us-ascii,Microsoft-IIS/7.5,US,Pennsylvania,8236,1495,5,3,3,474,5,6,364,474,5,0.0
0,28,7,utf-8,Apache,CA,ON,8876,973,21,7,5,2830,29,25,6137,3400,29,8.0
0,28,6,UTF-8,Apache,IN,UTTAR PRADESH,2894,847,14,9,2,2094,14,12,8019,2094,14,0.0
0,28,7,us-ascii,Microsoft-IIS/7.5,None,None,1018,796,17,1,7,1848,23,24,2167,2322,23,6.0
0,28,7,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,US,NC,6842,932,17,12,3,2314,23,27,21419,2740,23,6.0
0,28,7,UTF-8,GSE,US,CA,6878,1066,66,5,11,6311,70,64,63634,6633,70,4.0
0,28,6,iso-8859-1,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,US,FL,7322,1942,28,5,8,2324,30,33,24662,2482,30,2.0
0,28,8,UTF-8,Apache,US,Arizona,3689,804,6,0,3,632,8,8,593,776,8,2.0
0,28,6,utf-8,Pepyaka/1.11.3,US,NY,7662,1785,0,0,0,0,0,0,0,0,0,0.0
0,28,6,utf-8,None,US,CA,8499,1596,26,19,3,2632,30,36,27404,2916,30,4.0
0,28,6,UTF-8,nginx,US,California,4368,1273,0,0,0,0,0,0,0,0,0,0.0
1,29,7,ISO-8859-1,Apache,US,MD,3539,995,34,0,2,2934,40,40,34995,3416,40,6.0
1,29,7,us-ascii,Microsoft-HTTPAPI/2.0,UG,kireka,6113,773,5,0,2,593,7,8,1128,751,7,2.0
0,29,6,ISO-8859-1,Apache,US,CA,8074,828,0,0,0,0,0,0,0,0,0,0.0
0,29,6,None,tsa_c,US,CA,7070,1023,0,0,0,0,0,0,0,0,0,0.0
0,29,8,ISO-8859-1,Apache,US,CA,8897,920,0,0,0,0,0,0,0,0,0,0.0
0,29,6,UTF-8,Apache,US,IL,4812,826,0,0,0,0,0,0,0,0,0,0.0
0,29,7,utf-8,nginx,US,NY,8835,819,0,0,0,0,0,0,0,0,0,0.0
0,29,6,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,US,Missouri,4263,794,0,0,0,0,0,0,0,0,0,0.0
0,29,6,UTF-8,Apache/2.2.22 (Debian),JP,Osaka,789,789,0,0,0,0,0,0,0,0,0,0.0
0,29,7,iso-8859-1,Apache/2.2.22 (Ubuntu),CA,QC,8367,635,0,0,0,0,0,0,0,0,0,0.0
0,29,6,ISO-8859-1,Apache,None,None,5901,757,26,6,5,2519,30,30,22379,2851,30,4.0
0,29,6,us-ascii,Microsoft-HTTPAPI/2.0,US,Michigan,1374,1008,12,8,6,900,12,9,568,900,12,0.0
0,29,7,UTF-8,Apache/2.2.22,CA,AB,5426,1072,709,708,3,2362906,709,837,83056,2362906,709,0.0
0,29,6,UTF-8,Apache,US,CA,5295,697,5,4,2,486,5,7,542,486,5,0.0
0,29,6,ISO-8859-1,Apache,US,Maryland,4045,1142,15,8,7,1134,15,9,605,1134,15,0.0
0,29,6,us-ascii,None,CA,Ontario,5778,998,3,3,1,366,3,5,306,366,3,0.0
0,29,6,iso-8859-1,nginx/1.12.0,US,South Carolina,3395,1318,5,3,3,486,5,7,436,486,5,0.0
0,29,8,UTF-8,Apache/2.4.25,US,Texas,4756,1052,17,9,10,1249,17,15,1062,1249,17,0.0
0,29,6,us-ascii,Microsoft-HTTPAPI/2.0,None,None,7783,1119,34,9,6,2861,38,26,15260,3229,38,4.0
0,29,6,ISO-8859-1,None,US,California,7778,1204,10,2,9,612,12,14,918,772,12,2.0
0,29,7,ISO-8859-1,Apache,US,CA,8074,828,32,21,8,4561,38,36,10429,4997,38,6.0
0,29,8,UTF-8,GSE,US,CA,6878,1066,33,6,5,3533,37,35,46688,3859,37,4.0
0,29,8,UTF-8,Tengine,CN,Zhejiang,7351,2536,28,0,5,3183,36,33,24455,3777,36,8.0
0,29,6,UTF-8,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,US,Arizona,5845,1332,21,6,11,1515,23,18,1334,1675,23,2.0
0,29,6,utf-8,Apache/2.2.15 (CentOS),US,New Mexico,6086,1919,24,1,3,2195,29,30,55576,2515,29,4.0
0,29,6,iso-8859-1,Apache,US,New York,4823,2116,0,0,0,0,0,0,0,0,0,0.0
0,29,6,ISO-8859-1,Apache/2,None,None,7453,2158,0,0,0,0,0,0,0,0,0,0.0
0,29,8,us-ascii,Microsoft-HTTPAPI/2.0,AU,QLD,1605,1153,0,0,0,0,0,0,0,0,0,0.0
0,29,6,ISO-8859-1,nginx/1.12.0,CA,ON,4877,859,0,0,0,0,0,0,0,0,0,0.0
0,29,6,utf-8,None,US,CA,8499,1596,0,0,0,0,0,0,0,0,0,0.0
0,30,6,utf-8,Apache/2.4.10 (Debian),SE,None,8397,2041,0,0,0,0,0,0,0,0,0,0.0
0,30,6,iso-8859-1,Apache/2.4.6 (CentOS) PHP/5.6.8,US,MA,2128,807,0,0,0,0,0,0,0,0,0,0.0
0,30,7,utf-8,nginx,US,NY,8835,819,14,9,3,1918,18,17,5546,2182,18,4.0
0,30,6,ISO-8859-1,None,US,CA,8098,913,62,52,12,8974,76,69,30726,10006,76,14.0
0,30,6,ISO-8859-1,Apache,US,CA,8074,828,22,17,2,3914,28,27,9833,4350,28,6.0
0,30,6,ISO-8859-1,Sun-ONE-Web-Server/6.1,None,None,5890,1197,18,17,5,1188,18,19,1451,1188,18,0.0
0,30,6,None,Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10,US,WI,8254,954,6,4,4,552,6,9,564,552,6,0.0
0,30,6,UTF-8,Apache,US,Texas,7723,2243,2,2,1,276,2,4,250,276,2,0.0
0,30,6,UTF-8,nginx,US,FL,1126,1146,15,2,6,1528,19,17,5586,1860,19,4.0
0,30,6,us-ascii,Microsoft-HTTPAPI/2.0,US,NJ,7092,1033,90,6,14,8646,92,100,95659,8808,92,2.0
0,30,7,ISO-8859-1,Apache,US,CA,8074,828,31,26,2,4412,37,37,27412,4848,37,6.0
0,30,6,utf-8,None,US,CA,8499,1596,31,23,3,3605,39,41,34388,4183,39,8.0
0,30,6,ISO-8859-1,None,US,CA,8098,913,76,47,12,9007,88,44,23985,9891,88,12.0
0,30,7,utf-8,AmazonS3,US,Arizona,6531,1496,23,1,10,1902,27,26,2764,2194,27,4.0
0,30,7,ISO-8859-1,Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1,US,GA,8402,801,48,3,6,3418,52,48,57377,3706,52,4.0
0,30,8,UTF-8,cloudflare-nginx,US,CA,5574,1231,0,0,0,0,0,0,0,0,0,0.0
0,30,6,utf-8,None,US,CA,8499,1596,0,0,0,0,0,0,0,0,0,0.0
0,30,7,ISO-8859-1,Apache,US,CA,8074,828,0,0,0,0,0,0,0,0,0,0.0
1,31,7,us-ascii,Microsoft-IIS/7.5,US,CA,6113,802,7,0,2,707,11,11,1018,1031,11,4.0
0,31,8,utf-8,ATS,US,CA,8899,1374,0,0,0,0,0,0,0,0,0,0.0
0,31,7,iso-8859-1,Apache/2.2.27 (CentOS),None,None,1679,947,0,0,0,0,0,0,0,0,0,0.0
0,31,7,ISO-8859-1,Apache,US,CA,8074,828,0,0,0,0,0,0,0,0,0,0.0
0,31,8,utf-8,Apache,US,MO,8411,949,0,0,0,0,0,0,0,0,0,0.0
0,31,6,ISO-8859-1,None,US,CA,8098,913,65,53,14,8568,77,70,26049,9452,77,12.0
0,31,6,UTF-8,Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips DAV/2 mod_bwlimited/1.4,None,None,6895,800,9,3,7,738,9,12,766,738,9,0.0
0,31,7,utf-8,CherryPy/3.6.0,CA,ON,8540,912,4,3,2,432,4,6,372,432,4,0.0
0,31,8,iso-8859-1,Apache/2.2.15 (CentOS),IN,HR,6775,2643,5,0,1,593,9,9,955,929,9,4.0
0,31,7,utf-8,nginx,US,NY,8835,819,28,13,13,2773,32,32,6566,3037,32,4.0
0,31,7,UTF-8,Apache/2.2.15 (Red Hat),US,FL,5530,1010,27,0,3,2743,33,33,43878,3181,33,6.0
0,31,6,us-ascii,Microsoft-IIS/7.5,US,Missouri,5012,964,23,1,4,2262,29,28,16553,2736,29,6.0
0,31,6,ISO-8859-1,Apache,None,None,8074,828,23,17,3,3981,29,27,9867,4417,29,6.0
0,31,8,us-ascii,Microsoft-HTTPAPI/2.0,US,FL,8362,1478,103,0,3,7073,105,113,179439,7217,105,2.0
0,31,6,UTF-8,Apache,US,MD,4900,1481,13,8,8,1355,16,16,1145,1519,16,2.0
0,31,7,ISO-8859-1,None,US,CA,8098,913,57,45,12,8136,69,64,25686,9020,69,12.0
0,31,7,utf-8,Apache,US,CA,4805,819,0,0,0,0,0,0,0,0,0,0.0
0,31,6,ISO-8859-1,Apache,US,CA,8074,828,0,0,0,0,0,0,0,0,0,0.0
0,31,7,iso-8859-1,Apache/2,US,Texas,6945,1102,0,0,0,0,0,0,0,0,0,0.0
0,32,8,UTF-8,Server,US,WA,8430,1121,0,0,0,0,0,0,0,0,0,0.0
0,32,6,ISO-8859-1,None,US,Missouri,3918,3973,0,0,0,0,0,0,0,0,0,0.0
0,32,8,UTF-8,Server,US,WA,8430,1121,0,0,0,0,0,0,0,0,0,0.0
0,32,8,ISO-8859-1,Apache,US,CA,4689,1423,0,0,0,0,0,0,0,0,0,0.0
0,32,6,UTF-8,Apache,CA,ab,3168,975,0,0,0,0,0,0,0,0,0,0.0
0,32,7,UTF-8,nginx,US,NY,3864,1235,0,0,0,0,0,0,0,0,0,0.0
0,32,7,UTF-8,nginx,US,CA,7028,546,14,10,2,2000,20,20,9588,2498,20,6.0
0,32,7,ISO-8859-1,None,US,CA,8098,913,49,42,5,7613,61,52,24774,8497,61,12.0
0,32,8,UTF-8,Apache,None,None,4134,858,24,0,4,2176,28,29,17335,2456,28,4.0
0,32,6,utf-8,None,None,None,8499,1596,4,3,2,432,4,5,310,432,4,0.0
0,32,8,utf-8,Microsoft-IIS/7.5,UK,Greater London,1086,544,5,3,2,474,5,7,426,474,5,0.0
0,32,7,UTF-8,Apache,US,Illinois,7880,2425,94,0,4,11902,102,121,173484,12492,102,8.0
0,32,8,us-ascii,Microsoft-HTTPAPI/2.0,None,None,8758,2502,11,10,6,798,11,15,1124,798,11,0.0
0,32,6,iso-8859-1,Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 mod_jk/1.2.40,US,Kansas,3872,819,6,3,4,564,6,7,442,564,6,0.0
0,32,8,iso-8859-1,Apache,SI,--,3753,1256,8,1,4,816,10,13,1541,958,10,2.0
0,32,7,iso-8859-1,Apache/2.2.3 (CentOS),US,MO,7579,890,71,0,3,10999,73,70,88707,11147,73,2.0
0,32,7,utf-8,Apache,US,CA,4805,819,43,26,14,4214,49,28,9246,4650,49,6.0
0,32,8,UTF-8,Server,US,WA,8430,1121,36,0,2,3185,40,40,50608,3465,40,4.0
0,32,8,UTF-8,Server,US,WA,8430,1121,24,2,4,1888,28,25,40314,2168,28,4.0
0,32,7,utf-8,None,None,None,4551,899,7,0,3,734,11,12,7145,1060,11,4.0
0,32,7,UTF-8,GSE,US,CA,6878,1066,38,2,5,4607,42,35,58676,4945,42,4.0
0,32,8,ISO-8859-1,nginx/1.12.0,US,California,5183,800,13,0,2,2065,17,16,7280,2349,17,4.0
0,32,7,us-ascii,None,US,Arizona,3626,793,0,0,0,0,0,0,0,0,0,0.0
1,33,11,utf-8,nginx,None,None,4316,2446,8,0,2,1045,12,11,1362,1333,12,4.0
0,33,7,utf-8,cloudflare-nginx,US,NY,9271,1312,0,0,0,0,0,0,0,0,0,0.0
0,33,8,UTF-8,Server,US,WA,8430,1121,0,0,0,0,0,0,0,0,0,0.0
0,33,8,UTF-8,Server,US,WA,8430,1121,0,0,0,0,0,0,0,0,0,0.0
0,33,6,utf-8,None,US,CA,8499,1596,0,0,0,0,0,0,0,0,0,0.0
0,33,6,iso-8859-1,Apache,JP,Fukuoka,2122,1039,0,0,0,0,0,0,0,0,0,0.0
0,33,6,utf-8,Apache/2.4,CA,BC,6980,766,0,0,0,0,0,0,0,0,0,0.0
0,33,8,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,US,California,8865,831,0,0,0,0,0,0,0,0,0,0.0
0,33,9,utf-8,None,US,CA,8402,1130,0,0,0,0,0,0,0,0,0,0.0
0,33,7,iso-8859-1,Apache,JP,Osaka,901,926,0,0,0,0,0,0,0,0,0,0.0
0,33,8,UTF-8,Server,US,WA,8430,1121,52,7,8,3438,56,51,46498,3718,56,4.0
0,33,7,iso-8859-1,Apache/1.3.27 (Unix)  (Red-Hat/Linux) mod_perl/1.26 PHP/4.3.3 FrontPage/5.0.2 mod_ssl/2.8.12 OpenSSL/0.9.6b,None,None,6876,942,4,3,2,420,4,5,304,420,4,0.0
0,33,6,utf-8,Apache,US,Texas,5727,1778,7,5,4,606,7,6,474,606,7,0.0
0,33,8,UTF-8,mw2114.codfw.wmnet,US,CA,6712,1266,32,11,6,3694,40,32,11543,4286,40,8.0
0,33,7,UTF-8,GSE,US,CA,6878,1066,4,2,3,408,4,6,382,408,4,0.0
0,33,6,UTF-8,Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_perl/2.0.8 Perl/v5.10.1,US,Arizona,6082,1038,8,4,5,660,8,9,556,660,8,0.0
0,33,6,ISO-8859-1,Apache/1.3.34 (Unix) PHP/4.4.4,US,FL,5077,1103,5,4,2,486,5,7,542,486,5,0.0
0,33,8,UTF-8,Server,US,WA,8430,1121,10,4,4,816,10,6,476,816,10,0.0
0,33,6,UTF-8,Microsoft-IIS/7.5,US,AL,2476,1071,24,1,4,3375,28,30,18396,3703,28,4.0
0,33,8,UTF-8,Apache/2.2.31 (Amazon),IL,None,5877,762,19,0,3,2042,27,27,4760,2622,27,8.0
0,33,7,UTF-8,Jetty(9.0.z-SNAPSHOT),US,NY,7119,926,105,98,7,8692,111,130,179133,9172,111,6.0
0,33,6,ISO-8859-1,Apache,US,CA,8074,828,0,0,0,0,0,0,0,0,0,0.0
1,34,9,ISO-8859-1,cloudflare-nginx,ru,Krasnoyarsk,2984,763,26,0,3,3569,32,31,10750,4037,32,6.0
0,34,6,UTF-8,nginx/1.12.0,US,MAINE,4155,867,0,0,0,0,0,0,0,0,0,0.0
0,34,7,us-ascii,Microsoft-HTTPAPI/2.0,GB,None,7005,947,0,0,0,0,0,0,0,0,0,0.0
0,34,7,ISO-8859-1,None,US,CA,6318,848,0,0,0,0,0,0,0,0,0,0.0
0,34,7,ISO-8859-1,None,US,CA,6318,848,33,27,2,5235,41,40,14571,5835,41,8.0
0,34,8,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,US,California,8865,831,0,0,0,0,0,0,0,0,0,0.0
0,34,6,utf-8,None,US,CA,8499,1596,0,0,0,0,0,0,0,0,0,0.0
0,34,7,ISO-8859-1,Apache/2.2.31 (CentOS),CA,ALBERTA,3161,604,0,0,0,0,0,0,0,0,0,0.0
0,34,7,UTF-8,nginx,US,CA,7028,546,0,0,0,0,0,0,0,0,0,0.0
0,34,7,utf-8,Apache/2.4.10 (Debian),US,Virginia,3282,2079,6,3,4,552,6,9,564,552,6,0.0
0,34,7,utf-8,nginx,CA,ON,7227,770,8,6,5,696,8,10,636,696,8,0.0
0,34,6,utf-8,None,None,None,8499,1596,34,9,9,2412,34,7,442,2412,34,0.0
0,34,7,UTF-8,cloudflare-nginx,IN,MH,4799,1146,3,3,1,366,3,5,306,366,3,0.0
0,34,9,ISO-8859-1,Apache,GB,None,4288,1550,5,3,2,498,5,5,306,498,5,0.0
